"","AnimalID","LHAMT_Euthanized","ExpName","ExperimentStartDate","StartGroup","ExperimentalGroup","ExperimentalUnit","Treatment","ExperimentalSeries","ExperimentStartAge","Experiment_Duration","Sex","WildCaught","Queen","LitterRef","BirthDate","BirthColony","FirstColony","DevelopingColony","DeathDate","DeathAge","FirstLitter_PairingColony","FirstLitter_ConceptionDate","FirstLitter_ConceptionColony","FirstLitter_ParturitionDate","FirstLitter_ParturitionColony","Training","BreedingStatus","Punched","Sequenced","Queried_BreedingStatus"
"1","ARF002","Yes","LHAM",2017-10-30,"Aristotle","Aristotle",15,"Helper",2,32.0328542094456,11.1047227926078,"F",0,0,99,2015-02-28,"Aristotle","Aristotle","Aristotle",2018-10-03,1313,NA,NA,NA,NA,NA,"No","Helper",NA,NA,"Helper"
"2","ARF013","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,221,2016-07-24,"Aristotle","Aristotle","Aristotle",2017-10-24,457,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"3","BEF001","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,28,2014-04-06,"Bennett","Bennett","Bennett",2018-10-12,1650,NA,NA,NA,NA,NA,"Yes","Helper","Yes","Yes","Helper"
"4","CRF002","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,9,2013-12-17,"Crick","Crick","Crick",2017-12-13,1457,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"5","CRF007","Yes","LHAM",2016-06-08,"Crick","Masai Mara",13,"Breeder",1,17.0513347022587,18.2012320328542,"F",0,0,84,2015-01-06,"Crick","Crick","Crick",2017-12-14,1073,"Masai Mara",2016-08-18,"Masai Mara",2016-11-14,"Masai Mara","No","Queen","Yes","Yes","Breeder"
"6","DVF007","Yes","LHAM",2017-10-31,"DaVinci","Camdeboo",18,"Breeder",2,21.9137577002053,11.1375770020534,"F",0,0,165,2016-01-03,"DaVinci","DaVinci","DaVinci",2018-10-05,1006,"Camdeboo",2018-02-20,"Camdeboo",2018-05-19,"Camdeboo","No","Queen","Yes","Yes","Breeder"
"7","DVF008","Yes","LHAM",2017-10-31,"DaVinci","DaVinci",18,"Helper",2,21.9137577002053,11.1047227926078,"F",0,0,165,2016-01-03,"DaVinci","DaVinci","DaVinci",2018-10-04,1005,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"8","VIF018","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,385,2017-12-02,"Virunga","Virunga","DEAD",2017-12-02,0,NA,NA,NA,NA,NA,"Yes","Pup",NA,NA,"Pup"
"9","G1F022","Yes","LHAM",2016-01-21,"Gemsbok 1","Gemsbok 1",3,"Helper",1,13.6344969199179,22.6365503080082,"F",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2017-12-10,1104,NA,NA,NA,NA,NA,"No","Helper",NA,NA,"Helper"
"10","G1F025","Yes","LHAM",2016-01-21,"Gemsbok 1","Kruger",3,"Solitary",1,13.6344969199179,22.6694045174538,"F",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2017-12-11,1105,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
